"rep","alpha","oracle_set","estimated_set","exact_recovery","oracle_value","estimated_value","separation_gap","iterations"
1,0,"2;5;13;15","2;5;13;15",TRUE,-0.944643297239587,-0.944643297239587,0.0751856326925364,3
1,1e-08,"2;5;13;15","2;5;13;15",TRUE,-0.944643297239587,-0.94464328574394,0.0751856326925364,3
1,1e-06,"2;5;13;15","2;5;13;15",TRUE,-0.944643297239587,-0.94464214767406,0.0751856326925364,3
1,1e-04,"2;5;13;15","2;5;13;15",TRUE,-0.944643297239587,-0.944528332721234,0.0751856326925364,3
1,0.001,"2;5;13;15","2;5;13;15",TRUE,-0.944643297239587,-0.943492930316403,0.0751856326925364,3
1,0.01,"2;5;13;15","2;5;13;15",TRUE,-0.944643297239587,-0.933069844766283,0.0751856326925364,3
2,0,"4;10;17;20","4;10;17;20",TRUE,-0.0298895954490155,-0.0298895954490155,0.0305368948850563,3
2,1e-08,"4;10;17;20","4;10;17;20",TRUE,-0.0298895954490155,-0.0298895939537276,0.0305368948850563,3
2,1e-06,"4;10;17;20","4;10;17;20",TRUE,-0.0298895954490155,-0.0298894459199125,0.0305368948850563,3
2,1e-04,"4;10;17;20","4;10;17;20",TRUE,-0.0298895954490155,-0.029874639331091,0.0305368948850563,3
2,0.001,"4;10;17;20","4;10;17;20",TRUE,-0.0298895954490155,-0.0297397429394319,0.0305368948850563,3
2,0.01,"4;10;17;20","4;10;17;20",TRUE,-0.0298895954490155,-0.0283622141060473,0.0305368948850563,3
3,0,"3;7;15;19","3;7;15;19",TRUE,-0.177249660456957,-0.177249660456957,0.125395062333203,2
3,1e-08,"3;7;15;19","3;7;15;19",TRUE,-0.177249660456957,-0.177249671459368,0.125395062333203,2
3,1e-06,"3;7;15;19","3;7;15;19",TRUE,-0.177249660456957,-0.177250760698142,0.125395062333203,2
3,1e-04,"3;7;15;19","3;7;15;19",TRUE,-0.177249660456957,-0.177359685553452,0.125395062333203,2
3,0.001,"3;7;15;19","3;7;15;19",TRUE,-0.177249660456957,-0.178349998756685,0.125395062333203,2
3,0.01,"3;7;15;19","3;7;15;19",TRUE,-0.177249660456957,-0.188260213839671,0.125395062333203,2
4,0,"4;9;15;20","4;9;15;20",TRUE,0.062515940466339,0.062515940466339,0.00733889603773852,3
4,1e-08,"4;9;15;20","4;9;15;20",TRUE,0.062515940466339,0.062515940512837,0.00733889603773852,3
4,1e-06,"4;9;15;20","4;9;15;20",TRUE,0.062515940466339,0.0625159451157967,0.00733889603773852,3
